gameDuration,Champion1_Name,Champion1_gold,Champion1_position,Champion2_Name,Champion2_gold,Champion2_position,Champion3_Name,Champion3_gold,Champion3_position,Champion4_Name,Champion4_gold,Champion4_position,Champion5_Name,Champion5_gold,Champion5_position,Champion6_Name,Champion6_gold,Champion6_position,Champion7_Name,Champion7_gold,Champion7_position,Champion8_Name,Champion8_gold,Champion8_position,Champion9_Name,Champion9_gold,Champion9_position,Champion10_Name,Champion10_gold,Champion10_position,Team1_baron_first,Team1_baron_kills,Team1_kill_first,Team1_kills,Team1_dragon_first,Team1_dragon_kills,Team1_inhibitor_first,Team1_inhibitor_kills,Team1_riftHerald_kills,Team1_tower_first,Team1_tower_kills,Team2_baron_first,Team2_baron_kills,Team2_champion_first,Team2_champion_kills,Team2_dragon_first,Team2_dragon_kills,Team2_inhibitor_first,Team2_inhibitor_kills,Team2_riftHerald_kills,Team2_tower_first,Team2_tower_kills,Team1_win
1643,Singed,10715,TOP,Taliyah,12142,JUNGLE,Gangplank,12389,MIDDLE,Zeri,10879,BOTTOM,Renata,7872,UTILITY,Riven,14384,TOP,Graves,15435,JUNGLE,Swain,9681,MIDDLE,Twitch,16651,BOTTOM,Lulu,9200,UTILITY,False,0,False,22,False,0,False,0,0,False,4,True,1,True,41,True,4,True,3,2,True,11,False
1533,Akali,7202,TOP,Maokai,12788,JUNGLE,Yasuo,13453,MIDDLE,Ezreal,11085,BOTTOM,Pyke,6735,UTILITY,Gangplank,13218,TOP,Kindred,11663,JUNGLE,Sylas,10246,MIDDLE,Aphelios,15275,BOTTOM,Lulu,9553,UTILITY,True,1,True,22,False,0,False,0,2,True,4,False,0,False,38,True,3,True,2,0,False,9,False
928,Jayce,10322,TOP,Elise,7495,JUNGLE,Sylas,7060,MIDDLE,Lucian,6500,BOTTOM,Sona,5054,UTILITY,Karma,3065,TOP,Ekko,4858,JUNGLE,Anivia,5232,MIDDLE,Caitlyn,4621,BOTTOM,Nami,3744,UTILITY,False,0,True,20,True,1,False,0,2,True,6,False,0,False,4,False,0,False,0,0,False,0,True
1226,Jayce,7995,TOP,Graves,11018,JUNGLE,Ryze,9797,MIDDLE,Ezreal,9214,BOTTOM,Karma,6168,UTILITY,Gragas,6132,TOP,Kayn,7002,JUNGLE,Tryndamere,7722,MIDDLE,Varus,8775,BOTTOM,Lux,6180,UTILITY,False,0,False,18,False,1,True,1,2,True,6,False,0,True,13,True,1,False,0,0,False,1,True
1731,Aatrox,9237,TOP,MonkeyKing,9376,JUNGLE,Syndra,12834,MIDDLE,Jhin,12109,BOTTOM,Lux,8563,UTILITY,Lulu,10098,UTILITY,Maokai,12437,JUNGLE,Ziggs,11408,MIDDLE,Varus,14025,BOTTOM,Jax,12949,TOP,False,0,True,20,False,1,False,0,2,True,1,True,2,False,24,True,3,True,5,0,False,11,False
1691,Olaf,15093,TOP,MonkeyKing,12223,JUNGLE,Syndra,13529,MIDDLE,Ashe,9384,BOTTOM,Nautilus,8181,UTILITY,Karma,9204,TOP,Vi,12009,JUNGLE,Seraphine,8709,MIDDLE,Varus,12422,BOTTOM,Renata,7683,UTILITY,False,0,True,30,False,3,True,2,2,True,10,True,1,False,22,True,1,False,0,0,False,1,True
1625,Renekton,10930,TOP,Elise,10883,JUNGLE,Ryze,11605,MIDDLE,Lucian,12312,BOTTOM,Nami,7382,UTILITY,Irelia,13862,TOP,Kindred,13273,JUNGLE,Singed,9360,MIDDLE,Zeri,12935,BOTTOM,Yuumi,8485,UTILITY,False,0,True,24,True,3,False,0,1,True,4,True,1,False,29,False,1,True,1,1,False,7,False
1478,Gangplank,14876,TOP,Udyr,9789,JUNGLE,Zed,14333,MIDDLE,Syndra,10623,BOTTOM,Karma,7889,UTILITY,Jayce,12313,TOP,Elise,9074,JUNGLE,Lissandra,7704,MIDDLE,Caitlyn,9243,BOTTOM,Lux,7022,UTILITY,True,1,True,27,True,2,True,2,1,True,9,False,0,False,16,False,1,False,0,1,False,1,True
1328,Gangplank,13186,TOP,Viego,12889,JUNGLE,Ryze,10175,MIDDLE,Twitch,12081,BOTTOM,Karma,6778,UTILITY,KSante,8241,TOP,Evelynn,7169,JUNGLE,Singed,9338,MIDDLE,Draven,10171,BOTTOM,Lux,6193,UTILITY,True,1,True,35,True,2,False,0,2,True,7,False,0,False,19,False,0,False,0,0,False,1,True
945,Gangplank,7668,TOP,Gragas,7055,JUNGLE,Yone,6804,MIDDLE,Lucian,8246,BOTTOM,Nami,5271,UTILITY,Gwen,5486,TOP,Graves,6029,JUNGLE,Yasuo,4704,MIDDLE,Caitlyn,4530,BOTTOM,Karma,3523,UTILITY,False,0,True,17,False,0,False,0,1,True,3,False,0,False,6,True,1,False,0,0,False,0,True
1503,Gangplank,15799,TOP,Elise,10081,JUNGLE,Qiyana,9816,MIDDLE,Varus,11385,BOTTOM,Heimerdinger,8479,UTILITY,KSante,10272,TOP,MonkeyKing,9719,JUNGLE,Xerath,9231,MIDDLE,Yasuo,9192,BOTTOM,Karma,6801,UTILITY,True,1,True,24,True,3,True,1,2,True,8,False,0,False,17,False,0,False,0,0,False,3,True
1475,Olaf,10685,TOP,Taliyah,12190,JUNGLE,Kassadin,8780,MIDDLE,Draven,17270,BOTTOM,Nautilus,7468,UTILITY,Jayce,11046,TOP,MonkeyKing,9388,JUNGLE,Syndra,12268,MIDDLE,Xayah,16268,BOTTOM,Braum,9209,UTILITY,False,0,True,31,False,1,False,0,1,True,4,True,1,False,38,True,2,False,0,1,False,6,False
1557,Tryndamere,8541,TOP,Elise,8908,JUNGLE,Soraka,7136,UTILITY,Zeri,13215,BOTTOM,Lissandra,8471,MIDDLE,KSante,10376,TOP,LeeSin,11522,JUNGLE,Leblanc,15238,MIDDLE,Draven,9200,BOTTOM,Janna,6839,UTILITY,False,0,True,16,True,2,False,0,0,True,5,True,1,False,30,False,1,True,1,2,False,9,False
1649,Jax,7596,TOP,Rumble,10805,JUNGLE,Irelia,10958,MIDDLE,Zeri,11207,BOTTOM,Lulu,7161,UTILITY,Gragas,11578,TOP,Evelynn,15166,JUNGLE,Yasuo,14580,MIDDLE,Varus,12931,BOTTOM,Nautilus,9399,UTILITY,False,0,False,18,False,0,False,0,0,False,1,True,2,True,40,True,4,True,2,1,True,10,False
1645,Olaf,13776,TOP,Udyr,14569,JUNGLE,Syndra,15132,MIDDLE,Caitlyn,12144,BOTTOM,Karma,10670,UTILITY,Gangplank,12578,TOP,LeeSin,12158,JUNGLE,Ryze,11994,MIDDLE,Zeri,11140,BOTTOM,Heimerdinger,9167,UTILITY,False,0,False,40,True,4,True,2,2,True,10,True,1,True,23,False,0,False,0,0,False,4,True
1084,KSante,4941,TOP,Amumu,5776,JUNGLE,Irelia,7210,MIDDLE,Draven,4857,BOTTOM,Nami,4076,UTILITY,Gangplank,11207,TOP,MonkeyKing,8673,JUNGLE,Syndra,9460,MIDDLE,Lucian,9647,BOTTOM,Soraka,5393,UTILITY,False,0,False,4,False,0,False,0,0,False,0,False,0,True,28,True,2,True,2,1,True,10,False
1719,Camille,12142,TOP,Viego,14262,JUNGLE,Akali,12334,MIDDLE,Seraphine,9753,BOTTOM,Senna,9074,UTILITY,Yone,11540,TOP,Evelynn,12982,JUNGLE,Jayce,13439,MIDDLE,Zeri,17961,BOTTOM,Lulu,9390,UTILITY,False,0,True,33,False,3,False,0,0,False,2,True,1,False,38,True,1,True,1,1,True,8,False
1844,Gangplank,13820,TOP,Graves,12794,JUNGLE,Ryze,9930,MIDDLE,Draven,15458,BOTTOM,Soraka,7441,UTILITY,KSante,14784,TOP,LeeSin,16233,JUNGLE,Syndra,11479,MIDDLE,Samira,14773,BOTTOM,Janna,9194,UTILITY,False,0,False,24,True,2,False,0,1,True,3,True,1,True,38,False,2,True,1,1,False,10,False
