Strong_against,aatrox,ahri,akali,akshan,alistar,amumu,anivia,annie,aphelios,ashe,aurelionsol,azir,bard,belveth,blitzcrank,brand,braum,caitlyn,camille,cassiopeia,chogath,corki,darius,diana,drmundo,draven,ekko,elise,evelynn,ezreal,fiddlesticks,fiora,fizz,galio,gangplank,garen,gnar,gragas,graves,gwen,hecarim,heimerdinger,illaoi,irelia,ivern,janna,jarvaniv,jax,jayce,jhin,jinx,ksante,kaisa,kalista,karma,karthus,kassadin,katarina,kayle,kayn,kennen,khazix,kindred,kled,kogmaw,leblanc,leesin,leona,lillia,lissandra,lucian,lulu,lux,malphite,malzahar,maokai,masteryi,milio,missfortune,monkeyking,mordekaiser,morgana,nami,nasus,nautilus,neeko,nidalee,nilah,nocturne,nunu,olaf,orianna,ornn,pantheon,poppy,pyke,qiyana,quinn,rakan,rammus,reksai,rell,renata,renekton,rengar,riven,rumble,ryze,samira,sejuani,senna,seraphine,sett,shaco,shen,shyvana,singed,sion,sivir,skarner,sona,soraka,swain,sylas,syndra,tahmkench,taliyah,talon,taric,teemo,thresh,tristana,trundle,tryndamere,twistedfate,twitch,udyr,urgot,varus,vayne,veigar,velkoz,vex,vi,viego,viktor,vladimir,volibear,warwick,xayah,xerath,xinzhao,yasuo,yone,yorick,yuumi,zac,zed,zeri,ziggs,zilean,zoe,zyra
aatrox,,,,,,,,,,,,,,,,,,,,,,,,,1028.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756.9327,,,,,,,,,,,,,,,,,,,,,,,,,1011.2456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1223.7532,,,746.1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,611.9646,207.3262,,,,,,,,,,,,,,,,,,,,,,545.5573,,,,,,,,,,,,,,,,,,,,,,,456.6971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,370.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.4762,,,,220.8846,,,,,,,388.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,1055.8068,,,,,,,,,,,,,,,,,,,,,,,812.6364,,,,,,,,,,,,,,,,,,,,,,,,,783.9245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100.5833,,,,,,,,,748.0535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.8848,,,,,,,,,,,,,,,,,,,181.5385,,,,,593.4501,,,,,,,,,,322.9723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.5122,,,,,,
anivia,,,,,,,,367.1411,,,328.7521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.6723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.7483,,,,,,316.0368,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,161.509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,282.1426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.7016,,,,,,,,,,,,,,,,,,,,,,,,,,275.349,,,,,,315.0292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.2363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,176.4057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,195.2231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.3236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.6477,,,,,,,170.978,,,,,,,,,,,,,,276.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836.0462,,,,598.4171,,,,,,,,,,761.6113,,,,,,,,,,643.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775.5518,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683.6396,,,,,,641.2447,,,,,645.3188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671.9371,,,,,,,,,652.2489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,189.4375,206.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.9436,,,,,,,,,,,,,,,,,,,,,272.0395,,,,,,,,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,,,,,,,,,,317.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.0574,,,,,,,,,,,,,,,,,,,,,,,,,414.6427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555.3502,,440.5644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,431.9922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.5906,,,,,,,,,,,,250.2256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.8399,,,,,,,,,,,,,,,,,,,,,,,229.6688,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.1528,,,,,,,,,,,,,,,506.8002,,,,,,,,,,212.7354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.0824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corki,,215.9524,,,,,,489.4272,,,773.6678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.0442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.3641,,,,,,,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,,,,729.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657.4436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742.7845,,,,,,,,,,,,,,,,,,,,1342.9759,,909.3636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diana,,,,,,,,780.1706,,,767.1612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780.473,,,,,,,,,,,,,,,,,,,,,,,,865.0436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878.0574,,,,,,
